sample_id,视频文件名,视频标题,商品/服务类别,来源,采集日期,视频时长_秒,文案摘要
1,1.mp4,切片1 · 普通化妆品 · 美妆博主直播推荐全新二代气垫,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.93,美妆博主直播推荐全新二代气垫，主打还原好气色、持妆久且适合敏感肌，强调妆效惊艳并引导观众下单购买。
2,2.mp4,切片2 · 服饰箱包 · 主播诺姐在直播间展示并推销女士休闲裤,1207-服饰箱包,教师提供公开直播/短视频广告切片,2026-09-04,29.93,主播诺姐在直播间展示并推销女士休闲裤，强调版型与穿着效果，同时右下角挂有厚底帆布鞋商品链接，提供0元试穿及退货包运费服务。
3,3.mp4,切片3 · 乳制品 · 主播在直播间推销西梅酸奶,0501-乳制品,教师提供公开直播/短视频广告切片,2026-09-04,29.92,主播在直播间推销西梅酸奶，展示产品包装并引导观众立即抢购。
4,4.mp4,切片4 · 服饰箱包 · 直播展示悦哲品牌国风夏季宽松上衣,1207-服饰箱包,教师提供公开直播/短视频广告切片,2026-09-04,29.93,直播展示悦哲品牌国风夏季宽松上衣，主打新中式风格与高级质感，适合不同体型穿着。
5,5.mp4,切片5 · 普通化妆品 · 直播间正在推广燕裕逆龄紧致喷雾,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.94,直播间正在推广燕裕逆龄紧致喷雾，主打润而不腻、饱满紧致的护肤功效，售价199元。
6,6.mp4,切片6 · 普通化妆品 · 该广告推销名为“黛芸蜜”的私护产品（如缩缩液）,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.92,该广告推销名为“黛芸蜜”的私护产品（如缩缩液），主打女性私密部位紧致、修复及护理功能，属于个人护理类化妆品。
7,7.mp4,切片7 · 视听设备 · 海信激光电视直播推广,0901-视听设备,教师提供公开直播/短视频广告切片,2026-09-04,29.93,海信激光电视直播推广，主打星光系列S1/S2新品，强调护眼不伤眼、超薄贴墙及帝瓦雷影院级音响等卖点。
8,8.mp4,切片8 · 视听设备 · 海信激光电视S1/S2系列广告,0901-视听设备,教师提供公开直播/短视频广告切片,2026-09-04,29.97,海信激光电视S1/S2系列广告，主打0有害蓝光护眼功能，强调色域高、机身薄及影院级音响体验，适合打造家庭亲子影院。
9,9.mp4,切片9 · 卫生用品 · 宜婴品牌纸尿裤直播促销,1204-卫生用品,教师提供公开直播/短视频广告切片,2026-09-04,29.93,宜婴品牌纸尿裤直播促销，主打红山茶花精华养肤卖点，提供尺码指南及买尿裤送车车等优惠活动。
10,10.mp4,切片10 · 卫生用品 · 宜婴品牌纸尿裤直播带货广告,1204-卫生用品,教师提供公开直播/短视频广告切片,2026-09-04,29.93,宜婴品牌纸尿裤直播带货广告，主打红山茶花精华系列，宣传买尿裤送车车及五折优惠活动。
